Date,Open,High,Low,Close,Adj Close,Volume
2022-03-14,68034.000000,68450.000000,67405.046875,68372.351563,68244.890625,6352
2022-03-15,68200.000000,68995.000000,67500.000000,68085.000000,67958.070313,9065
2022-03-16,68700.000000,68849.898438,68186.648438,68370.453125,68242.992188,7593
2022-03-17,68600.000000,69889.000000,68500.101563,68957.796875,68829.234375,14905
2022-03-21,69652.648438,69860.000000,66588.000000,66876.351563,66751.671875,12368
2022-03-22,67248.898438,67300.000000,65900.000000,67096.601563,66971.507813,9663
2022-03-23,67105.000000,67726.601563,66611.101563,66844.703125,66720.078125,8261
2022-03-24,66840.000000,67399.953125,66450.000000,66718.750000,66594.367188,7400
2022-03-25,66900.046875,67179.648438,66000.000000,66501.101563,66377.125000,5838
2022-03-28,66500.000000,66500.000000,64955.800781,65708.648438,65586.140625,9839
2022-03-29,65790.000000,66878.351563,65010.000000,65297.050781,65175.316406,9704
2022-03-30,65849.546875,65899.953125,65134.550781,65358.898438,65237.050781,7190
2022-03-31,65495.000000,65800.000000,64701.449219,65022.101563,64900.878906,10386
2022-04-01,65100.000000,66650.000000,65099.949219,66485.203125,66361.257813,7651
2022-04-04,66710.000000,67259.953125,66710.000000,67129.898438,67004.750000,6506
2022-04-05,67129.898438,68100.000000,67129.898438,67756.046875,67629.726563,7621
2022-04-06,67790.000000,67956.046875,67203.148438,67630.851563,67504.765625,6216
2022-04-07,67750.000000,68194.148438,66900.000000,67109.250000,66984.132813,8501
2022-04-08,67490.000000,68128.953125,66708.648438,67782.851563,67656.476563,12652
2022-04-11,67500.000000,68000.000000,67301.046875,67765.648438,67639.304688,4286
2022-04-12,67600.000000,67987.203125,66565.296875,67585.703125,67459.703125,13531
2022-04-13,67650.000000,68121.000000,67011.000000,67447.296875,67321.562500,8522
2022-04-18,67003.000000,67480.453125,66000.148438,66944.953125,66820.148438,11982
